,show_id,link_to_id,community
0,1,1824,2
1,1,1731,2
2,1,15,2
3,1,2516,2
4,2,1001,1
5,2,1163,1
6,2,1454,1
7,2,2050,1
8,2,209,1
9,2,1841,1
10,2,3719,1
11,2,1025,1
12,2,2688,1
13,2,4,1
14,2,1590,1
15,2,937,1
16,2,3605,1
17,2,946,1
18,2,813,1
19,3,3585,1
20,3,3399,1
21,3,1149,1
22,3,1976,1
23,4,386,1
24,4,2631,1
25,4,217,1
26,4,1910,1
27,4,3447,1
28,4,373,1
29,4,1494,1
30,4,2280,1
31,4,1621,1
32,4,1693,1
33,4,2996,1
34,4,749,1
35,4,280,1
36,4,452,1
37,4,1921,1
38,4,2876,1
39,4,2932,1
40,4,12,1
41,4,2879,1
42,4,2985,1
43,4,2383,1
44,4,1660,1
45,4,12,1
46,4,3109,1
47,4,226,1
48,4,236,1
49,4,106,1
50,4,107,1
51,4,1446,1
52,4,3012,1
53,4,73,1
54,4,1540,1
55,4,1106,1
56,4,3461,1
57,4,2045,1
58,4,3711,1
59,4,1582,1
60,4,1169,1
61,4,1583,1
62,4,2896,1
63,4,545,1
64,4,185,1
65,4,423,1
66,4,1774,1
67,4,290,1
68,4,603,1
69,4,1486,1
70,4,703,1
71,4,1065,1
72,4,1412,1
73,4,3231,1
74,4,260,1
75,4,3373,1
76,4,355,1
77,4,173,1
78,4,3239,1
79,4,2741,1
80,4,2771,1
81,4,2452,1
82,4,2017,1
83,4,47,1
84,4,1969,1
85,4,2560,1
86,4,3443,1
87,4,566,1
88,5,667,2
89,5,1916,2
90,6,276,1
91,6,1859,1
92,6,3750,1
93,6,2811,1
94,6,1914,1
95,6,3187,1
96,6,1200,1
97,6,578,1
98,6,3768,1
99,6,1441,1
100,6,2338,1
101,6,60,1
102,6,1988,1
103,6,78,1
104,6,3352,1
105,6,2783,1
106,6,9,1
107,6,2430,1
108,6,1111,1
109,6,769,1
110,6,3155,1
111,6,2179,1
112,6,2733,1
113,6,1596,1
114,6,316,1
115,6,356,1
116,6,1185,1
117,6,2321,1
118,6,138,1
119,6,2565,1
120,6,2448,1
121,6,3171,1
122,6,3020,1
123,6,3671,1
124,6,3038,1
125,6,2684,1
126,6,906,1
127,7,556,2
128,7,2499,2
129,7,3757,2
130,7,2332,2
131,8,218,1
132,8,495,1
133,3140,2089,1
134,3140,193,1
135,3140,1945,1
136,3140,3580,1
137,3140,2158,1
138,3140,3285,1
139,3140,933,1
140,3140,49,1
141,3140,2522,1
142,3140,3075,1
143,3140,2944,1
144,3140,387,1
145,3140,903,1
146,3140,2425,1
147,3140,3096,1
148,3140,959,1
149,3140,230,1
150,3140,1716,1
151,3140,3455,1
152,10,2812,1
153,10,444,1
154,10,2400,1
155,10,93,1
156,10,393,1
157,10,3264,1
158,10,455,1
159,10,14,1
160,10,2701,1
161,10,3472,1
162,10,3336,1
163,10,2106,1
164,10,2036,1
165,10,3088,1
166,10,46,1
167,10,246,1
168,10,2556,1
169,10,120,1
170,10,154,1
171,10,1604,1
172,10,1665,1
173,10,3188,1
174,10,3051,1
175,76,112,2
176,76,2768,2
177,76,188,2
178,76,3341,2
179,76,1259,2
180,76,516,2
181,76,287,2
182,76,1849,2
183,12,386,2
184,12,2631,2
185,12,217,2
186,12,1910,2
187,12,3447,2
188,12,373,2
189,12,1494,2
190,12,2876,2
191,12,2280,2
192,12,3320,2
193,12,1621,2
194,12,1693,2
195,12,749,2
196,12,280,2
197,12,452,2
198,12,1921,2
199,12,2644,2
200,12,2932,2
201,12,12,2
202,12,2879,2
203,12,2985,2
204,12,2383,2
205,12,1660,2
206,12,1540,2
207,12,226,2
208,12,236,2
209,12,106,2
210,12,3590,2
211,12,107,2
212,12,1774,2
213,12,1446,2
214,12,3012,2
215,12,73,2
216,12,1106,2
217,12,3415,2
218,12,77,2
219,12,3461,2
220,12,2045,2
221,12,3711,2
222,12,1582,2
223,12,1169,2
224,12,1583,2
225,12,2896,2
226,12,545,2
227,12,185,2
228,12,423,2
229,12,1969,2
230,12,290,2
231,12,603,2
232,12,1486,2
233,12,703,2
234,12,1065,2
235,12,1412,2
236,12,3231,2
237,12,260,2
238,12,3373,2
239,12,355,2
240,12,173,2
241,12,3239,2
242,12,3109,2
243,12,2771,2
244,12,2452,2
245,12,2017,2
246,12,47,2
247,12,3626,2
248,12,2560,2
249,12,3443,2
250,12,566,2
251,12,2741,2
252,13,3282,2
253,13,27,2
254,1850,1176,1
255,1850,2633,1
256,1850,1945,1
257,1850,2694,1
258,1850,3185,1
259,1850,1683,1
260,1850,343,1
261,1850,265,1
262,1850,127,1
263,1850,3455,1
264,1850,2543,1
265,1850,199,1
266,1850,2219,1
267,1850,2350,1
268,1850,3338,1
269,1850,47,1
270,1850,3588,1
271,1850,1390,1
272,1850,230,1
273,1850,3075,1
274,1850,2006,1
275,1850,1981,1
276,1850,1761,1
277,1850,2787,1
278,1850,2766,1
279,1850,1114,1
280,1850,2957,1
281,1850,3797,1
282,1850,2440,1
283,1850,2184,1
284,1850,363,1
285,1850,3193,1
286,1850,672,1
287,1850,3116,1
288,1850,3487,1
289,1850,1960,1
290,1850,2740,1
291,1850,2659,1
292,1850,326,1
293,1850,3796,1
294,1850,2450,1
295,1850,3379,1
296,1850,1485,1
297,1850,959,1
298,1850,49,1
299,16,2411,1
300,16,188,1
301,16,1849,1
302,16,3408,1
303,16,932,1
304,16,752,1
305,17,964,1
306,17,3235,1
307,17,592,1
308,17,3262,1
309,17,3476,1
310,18,3164,2
311,2892,1672,1
312,19,52,2
313,19,996,2
314,19,2976,2
315,19,2618,2
316,19,2306,2
317,20,376,2
318,20,20,2
319,20,2300,2
320,20,2611,2
321,21,942,2
322,21,657,2
323,21,54,2
324,21,1946,2
325,21,1709,2
326,21,1916,2
327,21,1394,2
328,21,276,2
329,21,693,2
330,21,37,2
331,21,967,2
332,23,1117,2
333,23,2583,2
334,24,276,1
335,24,2811,1
336,24,3655,1
337,24,1380,1
338,24,399,1
339,24,1441,1
340,24,26,1
341,24,3171,1
342,24,2945,1
343,24,3689,1
344,24,3020,1
345,24,3352,1
346,24,9,1
347,24,2430,1
348,24,2666,1
349,24,3611,1
350,24,1778,1
351,24,356,1
352,24,1185,1
353,24,557,1
354,24,3735,1
355,24,2448,1
356,24,3678,1
357,24,415,1
358,24,2321,1
359,24,138,1
360,24,906,1
361,25,2556,1
362,25,3336,1
363,25,393,1
364,25,1165,1
365,25,278,1
366,25,2894,1
367,25,154,1
368,25,2701,1
369,25,1141,1
370,25,3782,1
371,25,3088,1
372,25,874,1
373,25,3193,1
374,25,3051,1
375,25,374,1
376,25,1518,1
377,26,2043,1
378,26,825,1
379,26,147,1
380,26,1795,1
381,26,2974,1
382,26,214,1
383,26,2822,1
384,27,3282,2
385,27,2226,2
386,27,1463,2
387,27,1654,2
388,27,2690,2
389,28,2171,1
390,28,1282,1
391,28,2789,1
392,29,2680,2
393,29,2155,2
394,29,2555,2
395,29,2756,2
396,29,359,2
397,29,3014,2
398,29,232,2
399,30,1896,2
400,30,1471,2
401,30,1313,2
402,30,2323,2
403,30,576,2
404,30,759,2
405,30,83,2
406,30,153,2
407,30,789,2
408,30,1561,2
409,30,79,2
410,31,2988,1
411,31,2089,1
412,31,1761,1
413,31,1945,1
414,31,2158,1
415,31,2665,1
416,31,49,1
417,31,3075,1
418,31,2944,1
419,31,3049,1
420,31,2425,1
421,31,343,1
422,31,959,1
423,31,230,1
424,31,3455,1
425,32,2761,2
426,32,3407,2
427,32,2127,2
428,33,941,2
429,33,2255,2
430,33,87,2
431,33,1038,2
432,34,63,1
433,34,456,1
434,34,3685,1
435,34,8,1
436,34,635,1
437,34,3430,1
438,34,3444,1
439,35,3651,2
440,35,3638,2
441,35,931,2
442,36,2569,2
443,36,1503,2
444,36,2861,2
445,36,2933,2
446,37,1394,2
447,37,2819,2
448,37,1946,2
449,37,657,2
450,3146,3544,2
451,3146,2431,2
452,39,2239,1
453,254,1563,1
454,254,364,1
455,254,2203,1
456,254,1242,1
457,254,2216,1
458,254,3254,1
459,254,370,1
460,254,129,1
461,254,1154,1
462,254,1558,1
463,254,871,1
464,254,1681,1
465,254,492,1
466,254,273,1
467,254,1119,1
468,254,3281,1
469,41,847,2
470,41,1335,2
471,42,3232,1
472,42,3113,1
473,42,2487,1
474,2880,1194,1
475,2880,278,1
476,2880,930,1
477,2880,1245,1
478,2880,842,1
479,2880,2192,1
480,2880,2022,1
481,43,773,2
482,43,2221,2
483,43,1991,2
484,43,1137,2
485,43,3203,2
486,44,625,1
487,44,74,1
488,44,1672,1
489,44,28,1
490,44,2590,1
491,44,945,1
492,44,1288,1
493,44,1128,1
494,44,478,1
495,44,2539,1
496,44,1277,1
497,44,2742,1
498,44,3279,1
499,45,927,2
500,45,2481,2
501,45,616,2
502,45,3637,2
503,46,202,1
504,47,386,2
505,47,2631,2
506,47,217,2
507,47,1910,2
508,47,3447,2
509,47,373,2
510,47,1494,2
511,47,2280,2
512,47,1621,2
513,47,1693,2
514,47,749,2
515,47,280,2
516,47,452,2
517,47,1921,2
518,47,2932,2
519,47,12,2
520,47,2879,2
521,47,2985,2
522,47,2383,2
523,47,1660,2
524,47,2741,2
525,47,226,2
526,47,236,2
527,47,106,2
528,47,107,2
529,47,1446,2
530,47,3012,2
531,47,73,2
532,47,1540,2
533,47,1106,2
534,47,3461,2
535,47,2045,2
536,47,3711,2
537,47,1582,2
538,47,1169,2
539,47,1583,2
540,47,2896,2
541,47,545,2
542,47,185,2
543,47,423,2
544,47,1774,2
545,47,290,2
546,47,603,2
547,47,1486,2
548,47,703,2
549,47,1065,2
550,47,1412,2
551,47,3231,2
552,47,260,2
553,47,3373,2
554,47,355,2
555,47,173,2
556,47,3239,2
557,47,3109,2
558,47,2771,2
559,47,2452,2
560,47,2017,2
561,47,1969,2
562,47,2560,2
563,47,3443,2
564,47,566,2
565,48,2894,1
566,48,2499,1
567,48,259,1
568,48,3696,1
569,48,370,1
570,48,2492,1
571,48,512,1
572,49,1193,2
573,49,1176,2
574,49,2633,2
575,49,1196,2
576,49,1945,2
577,49,1159,2
578,49,939,2
579,49,391,2
580,49,1084,2
581,49,3185,2
582,49,2342,2
583,49,2738,2
584,49,2522,2
585,49,1683,2
586,49,343,2
587,49,2184,2
588,49,127,2
589,49,1981,2
590,49,2543,2
591,49,2089,2
592,49,2219,2
593,49,2350,2
594,49,3338,2
595,49,2694,2
596,49,47,2
597,49,3588,2
598,49,933,2
599,49,1752,2
600,49,196,2
601,49,3075,2
602,49,1960,2
603,49,230,2
604,49,2944,2
605,49,2659,2
606,49,2006,2
607,49,3455,2
608,49,1761,2
609,49,3285,2
610,49,3526,2
611,49,2787,2
612,49,259,2
613,49,2766,2
614,49,3717,2
615,49,3580,2
616,49,2957,2
617,49,3797,2
618,49,2454,2
619,49,199,2
620,49,387,2
621,49,2440,2
622,49,265,2
623,49,3096,2
624,49,1716,2
625,49,3193,2
626,49,363,2
627,49,672,2
628,49,3116,2
629,49,1067,2
630,49,3487,2
631,49,1390,2
632,49,2740,2
633,49,2158,2
634,49,1210,2
635,49,326,2
636,49,3796,2
637,49,2450,2
638,49,3379,2
639,49,903,2
640,49,3453,2
641,49,2425,2
642,49,3049,2
643,49,212,2
644,49,1544,2
645,49,193,2
646,49,959,2
647,49,1485,2
648,50,3788,1
649,50,2882,1
650,50,2638,1
651,50,180,1
652,50,2482,1
653,51,112,2
654,51,310,2
655,51,188,2
656,51,1059,2
657,3294,2451,1
658,3294,564,1
659,52,765,2
660,52,305,2
661,52,2618,2
662,52,2310,2
663,52,3594,2
664,52,3268,2
665,52,2595,2
666,52,2976,2
667,52,1445,2
668,52,2306,2
669,52,996,2
670,52,3591,2
671,52,1818,2
672,52,2110,2
673,52,375,2
674,52,2070,2
675,52,802,2
676,52,3002,2
677,53,2,1
678,53,2325,1
679,54,360,2
680,54,3688,2
681,54,517,2
682,54,3462,2
683,54,2431,2
684,55,3114,2
685,55,3343,2
686,55,1811,2
687,55,1020,2
688,55,1856,2
689,55,2015,2
690,55,679,2
691,55,956,2
692,55,196,2
693,56,1161,2
694,56,3573,2
695,56,2561,2
696,56,33,2
697,56,3121,2
698,56,3425,2
699,56,3439,2
700,56,316,2
701,56,3202,2
702,57,1868,2
703,57,2952,2
704,58,1787,2
705,58,2033,2
706,59,89,2
707,59,1926,2
708,59,1889,2
709,59,1334,2
710,59,449,2
711,60,2390,2
712,60,3507,2
713,61,2942,2
714,61,1334,2
715,61,2697,2
716,2882,3788,2
717,2882,180,2
718,2882,335,2
719,2882,168,2
720,2882,2482,2
721,2882,3386,2
722,62,1513,2
723,62,3144,2
724,62,3227,2
725,63,2935,2
726,63,456,2
727,63,1492,2
728,63,282,2
729,63,2247,2
730,63,3010,2
731,63,8,2
732,63,1789,2
733,63,1966,2
734,63,2970,2
735,63,3760,2
736,64,267,1
737,64,2601,1
738,64,951,1
739,64,67,1
740,64,1125,1
741,64,193,1
742,64,2384,1
743,64,2848,1
744,64,2521,1
745,64,2900,1
746,64,795,1
747,64,1292,1
748,64,3420,1
749,65,2847,1
750,65,1991,1
751,65,3203,1
752,66,1194,1
753,66,2312,1
754,66,278,1
755,66,824,1
756,66,3203,1
757,66,3201,1
758,66,930,1
759,66,2012,1
760,66,561,1
761,66,158,1
762,66,1209,1
763,66,501,1
764,66,2438,1
765,66,3067,1
766,66,2840,1
767,66,2473,1
768,66,1991,1
769,66,2022,1
770,2492,3696,1
771,2492,3203,1
772,2492,1991,1
773,2492,3741,1
774,68,825,1
775,68,55,1
776,68,983,1
777,68,1655,1
