,show_id,link_to_id,community
0,1,1824,1
1,1,1731,1
2,1,15,1
3,1,2516,1
4,2,1001,1
5,2,1163,1
6,2,1454,1
7,2,2050,1
8,2,209,1
9,2,1841,1
10,2,3719,1
11,2,1025,1
12,2,2688,1
13,2,4,1
14,2,1590,1
15,2,937,1
16,2,3605,1
17,2,946,1
18,2,813,1
19,3,3585,1
20,3,3399,1
21,3,1149,1
22,3,1976,1
23,4,386,1
24,4,2631,1
25,4,217,1
26,4,1910,1
27,4,3447,1
28,4,373,1
29,4,1494,1
30,4,2280,1
31,4,1621,1
32,4,1693,1
33,4,2996,1
34,4,749,1
35,4,280,1
36,4,452,1
37,4,1921,1
38,4,2876,1
39,4,2932,1
40,4,12,1
41,4,2879,1
42,4,2985,1
43,4,2383,1
44,4,1660,1
45,4,12,1
46,4,3109,1
47,4,226,1
48,4,236,1
49,4,106,1
50,4,107,1
51,4,1446,1
52,4,3012,1
53,4,73,1
54,4,1540,1
55,4,1106,1
56,4,3461,1
57,4,2045,1
58,4,3711,1
59,4,1582,1
60,4,1169,1
61,4,1583,1
62,4,2896,1
63,4,545,1
64,4,185,1
65,4,423,1
66,4,1774,1
67,4,290,1
68,4,603,1
69,4,1486,1
70,4,703,1
71,4,1065,1
72,4,1412,1
73,4,3231,1
74,4,260,1
75,4,3373,1
76,4,355,1
77,4,173,1
78,4,3239,1
79,4,2741,1
80,4,2771,1
81,4,2452,1
82,4,2017,1
83,4,47,1
84,4,1969,1
85,4,2560,1
86,4,3443,1
87,4,566,1
88,5,667,1
89,5,1916,1
90,6,276,2
91,6,1859,2
92,6,3750,2
93,6,2811,2
94,6,1914,2
95,6,3187,2
96,6,1200,2
97,6,578,2
98,6,3768,2
99,6,1441,2
100,6,2338,2
101,6,60,2
102,6,1988,2
103,6,78,2
104,6,3352,2
105,6,2783,2
106,6,9,2
107,6,2430,2
108,6,1111,2
109,6,769,2
110,6,3155,2
111,6,2179,2
112,6,2733,2
113,6,1596,2
114,6,316,2
115,6,356,2
116,6,1185,2
117,6,2321,2
118,6,138,2
119,6,2565,2
120,6,2448,2
121,6,3171,2
122,6,3020,2
123,6,3671,2
124,6,3038,2
125,6,2684,2
126,6,906,2
127,7,556,2
128,7,2499,2
129,7,3757,2
130,7,2332,2
131,8,218,2
